UID(昵称),品牌馆头衔
17068,少儿流行舞社
N.style,
1002816,少儿明星才艺培养
“星星之火”组委,
1007530,原创精品幼儿（少儿）英语教学节目
小播爱英语,
16902,大型文化娱乐公司
华娱星城,
1004424,亲子生活短视频
玩疯了未来,
10147,工坊教育中心
奇思梦,
10106,专业儿童视频服务机构
潮小孩,
10058,国内著名的儿童故事读物
故事大王,
10994,中韩儿童娱乐经纪及儿童时尚偶像教育
STKT未来偶像,
1007513,儿童创意水墨画创始人
陈爷爷,
1006827,儿童时尚短视频内容平台
樱桃来了,
10000,国内首个儿童才艺竞技平台
怪兽bobo,
8051287,儿童形体礼仪素质教育品牌
潮童星金地分部,
8051585,少儿平地花式轮滑
天溜轮滑,
8051147,舞蹈培训
杭州新联邦艺校,
8051102,舞蹈芭蕾
芭赫芭蕾少儿舞蹈,
8050993,乐坊
三友乐坊,
3374393,动漫IP
百变马丁,
8042726,少儿英语
天才麦丘,
8050125,儿童摄影
周周儿童摄影会馆,
8002613,儿童艺术发展中心
莘瀚艺术中心,
8043957,儿童形体礼仪素质教育品牌
潮童星,
7631650,蒙氏早教专业日托??兴趣才艺??精品晚托
瑞宝教育,
7766214,少儿轮滑培训机构
近江店麒飞轮滑培训,
4651192,机器人创客中心
乐益达教育,
3135432,正统教育全脑心算
正统珠心算,
7020702,杭州华乒汇少儿乒乓球培训
华乒汇少儿乒乓球,
7191654,全网最有爱的亲子画画秀
大卫粑粑教画画,
11307,中国汉字文化课程
汉字解码,
3900102,演艺经纪公司
华册演艺经纪有限公司,
1004374,中国家庭娱乐第1频道
嘉佳卡通卫视,
1000811,在线美术课堂
四个爸爸教画画,
8056902,跆拳道
杭州童虎跆拳道,
8055757,教育培训
新鸿书院,
8056259,篮球培训机构
小飞人篮球,
8054651,少儿模特
H-MODEL,
8053808,数字音乐教育
罗兰数字音乐教育,
8052688,早教中心
bbunion,
8051635,乒乓球俱乐部
同人乒乓球俱乐部,
8052634,少儿跆拳道
麟云跆拳道,
8052948,早教中心
维尼儿童之家,
8052788,贝+跆拳道
贝+跆拳道,
8020292,音乐工作室
乐趣房子,
1007568,国际模特与演艺协会
IMTA,
8050756,科技
昂立STEM,
